dmanum,week,ex_loy_kc_reg,ex_loy_nkc_reg,ex_nloy_kc_reg,ex_nloy_nkc_reg,new_loy_kc_reg,new_loy_nkc_reg,new_nloy_kc_reg,new_nloy_nkc_reg,ex_loy_kc_final,ex_loy_nkc_final,ex_nloy_kc_final
506,11/9/2015,16816587.46,883892.8769,5743085.071,501238.4298,19004.54546,33594.4157,306211.6195,287065.0495,7113665.96,432873.04,2528745.43
506,11/16/2015,15236886.41,1132125.207,4409330.384,560586.2127,17013.1311,39441.48316,236132.8935,277609.6864,6500993.77,531221.37,1970350.67
506,11/23/2015,27338310.44,3281096.152,7890357.982,1945758.765,63431.53886,136868.077,830637.5928,1410076.743,10786482.32,1332135.31,3220086.42
506,11/30/2015,24998914.64,2760385.203,7390542.69,1742248.87,22240.00001,76825.13718,368357.8017,1051694.337,9248255.2,977042.4,2969204.53
506,12/7/2015,20927277.3,1357677.782,7567502.206,964705.2587,20357.65002,29134.15001,419820.3041,543674.8609,8697476.41,615800.86,3272535.11
506,12/14/2015,26476476.33,1763686.476,9816302.75,1051056.921,30343.12001,49500.22382,670442.4525,688558.0654,10881146.34,801370.64,4150376.4
506,12/21/2015,15955173.02,1348354.024,6505856.501,724101.0111,26151.67817,34123.34002,702664.8014,374363.455,6609583.81,608272.92,2794139.55
506,12/28/2015,4311240.323,488424.7121,1139952.438,256845.1854,6501.669992,15657.8,103559.211,120454.9134,1684311.66,209485.82,497591.93
507,10/26/2015,110513.5062,23085.71295,37180.92002,15514.05619,866.959999,330.569998,5756.280009,18630.22747,55094.42,12177.86,20538.45
507,11/2/2015,100531.7885,22145.48796,43346.31,15304.09181,248.35,499.899997,5437.310012,16339.71857,50112.64,11367.62,24385.49
507,11/9/2015,262716.8916,40951.3885,98058.39514,25598.57149,628.099998,1503.676665,12383.46001,26015.12917,111351.69,19503.71,44894
507,11/16/2015,236342.2039,37665.63623,94633.15151,23197.36345,1583.42833,1814.510003,12308.15333,21095.49001,99577.82,17826.89,43200.02
507,11/23/2015,597854.2977,152046.3846,242615.3596,128523.105,6545.398291,14937.14196,43615.47586,159876.8935,236348.97,60506.22,99511.4
507,11/30/2015,464675.2915,115498.5148,176163.5344,93717.66019,1175.920002,6504.793632,20043.22499,95308.465,166590.64,38993.18,67884.69
507,12/7/2015,306813.7638,49247.69168,126348.7353,44121.37335,1560.600013,1813.71333,17801.49599,42718.26924,126546.08,21561.74,55083.41
507,12/14/2015,370234.122,55937.80238,170926.5575,50934.35393,2244.783333,2063.349995,22251.81,48554.7475,153551.15,26087.33,74693.91
507,12/21/2015,261549.5948,39608.72336,126825.8984,36663.87122,1848.219998,2442.476657,27760.07569,23077.48142,111673.37,18137.68,56974.08
507,12/28/2015,80922.6982,17420.88663,24923.70501,12434.86998,125.99,978.270002,6791.619989,11470.46,35609.86,7760.24,12416.91
508,10/26/2015,3745270.651,392387.6953,563959.0835,170692.608,3387.650015,10105.25,53412.00002,69638.9313,1785040.39,205953.36,290150.79
508,11/2/2015,3071881.722,398923.8355,590771.5829,191002.6723,4382.490015,5994.899983,63300.23333,88089.27443,1522582.71,207771.91,317211.76
508,11/9/2015,10722722.3,481188.103,2001878.556,212684.2859,7875.540011,13076.6512,110212.5674,108924.6736,4445691.89,231874.83,857271.99
508,11/16/2015,9532178.733,590865.5955,1540401.352,266797.4682,12096.28998,14148.2025,87218.51887,107242.4055,3974367.62,270178.66,664976.48
508,11/23/2015,16343710.95,1832605.016,2412063.158,1008136.567,39282.83636,62632.6922,395490.2524,563936.7343,6320972.11,721080.55,969281.64
508,11/30/2015,14975667.45,1662661.716,2496137.952,866758.7872,15163.44497,37940.42378,173640.1731,448167.8258,5419276.77,589579.68,977487.75
508,12/7/2015,12072565.53,740977.0979,2435679.726,454369.927,15195.25832,12734.2,150808.0573,227378.586,4905638.37,334029.05,1025648.29
508,12/14/2015,15346342.29,1078827.658,3210583.517,553846.9065,21322.88666,20588.11357,266484.1908,277488.6895,6170613.4,485034.25,1328916.36
508,12/21/2015,9175312.775,807229.6669,2146617.09,424372.7486,18063.62997,11957.09501,273569.26,158389.6094,3743831.42,363108.58,902123.95
508,12/28/2015,2493929.567,330840.9264,424548.5267,152861.6928,3311.740005,6749.120016,46789.96999,49914.69824,932173.01,146261.16,177748.13
509,10/26/2015,1210890.222,128673.237,294116.1066,79457.26886,1389.349987,3514.339998,19157.26997,22145.25496,577536.14,67286.45,154977.01
509,11/2/2015,967314.7818,115411.987,273690.6069,76881.46004,1945.319997,2406.809999,22897.17998,20280.145,481244.24,57257.58,150506.3
509,11/9/2015,3364491.022,149217.4045,986232.1367,88765.31461,2370.770006,2763.320002,33545.05669,25623.91249,1378450.79,70814.86,424206.19
509,11/16/2015,2744641.075,170337.8313,741835.1384,110159.7304,2922.699997,7038.956652,25877.86669,29875.54714,1154250.92,77687.45,321375.39
509,11/23/2015,5888888.582,560257.6574,1473914.514,424117.2138,9984.62499,16962.47151,133045.9464,137595.4917,2255261.62,215307.76,585320.37
509,11/30/2015,4596805.514,473612.1075,1229982.678,338821.9638,7809.713323,7930.06001,51188.25335,99185.3885,1603618.76,162305.73,475215.57
509,12/7/2015,3696551.096,191978.5862,1254001.898,181152.5,3297.590002,1678.889999,59439.06,51342.28812,1499886.51,83660.45,530046.74
509,12/14/2015,4310477.789,277696.3274,1537603.914,228188.5497,4544.609991,4258.130001,82566.35002,82618.83166,1738365.41,126183.67,637358.63
509,12/21/2015,2861015.375,231639.41,1143889.14,198898.4684,3201.59,5109.119999,89413.44337,47550.86002,1165512.31,104659.49,473940.02
509,12/28/2015,860493.2666,93695.67606,225726.2096,53904.35166,833.119989,1744.550002,14203.19001,17007.25046,342265.36,39922.62,96086.72
510,10/26/2015,5753379.92,658394.4676,1416253.203,449871.3574,4309.560004,13381.182,83358.54512,126281.39,2744255.66,343694.28,760037.03
510,11/2/2015,4600920.525,598035.0039,1475738.091,479766.2252,4457.22801,10932.80667,83276.61403,111747.0873,2296678.26,309716.36,806443.26
510,11/9/2015,15379406.9,748245.5263,4929924.869,574300.669,6192.271654,22382.64399,156854.1267,140368.4025,6313226.16,358556.08,2105808.06
510,11/16/2015,12954279.8,917961.8805,3600117.669,668087.0592,11581.29752,24694.6096,151586.8561,171564.5124,5389036.02,414417.56,1569330.73
510,11/23/2015,23907192.02,2770411.389,6296778.2,2188062.678,51318.30205,63656.86859,630856.6495,736716.2425,9250845.63,1095111.11,2523023.69
510,11/30/2015,20634791.85,2393678.075,5884477.596,1984739.537,15610.3934,43296.64943,239325.8731,517413.9562,7378813.76,839723.21,2291167.4
510,12/7/2015,17592733.76,1112681.283,6080118.729,1156788.108,12459.12001,17178.20499,267985.924,277184.2151,7171350.02,497647.25,2575987.53
510,12/14/2015,22191324.95,1688566.27,7926825.159,1463403.755,26244.84083,28096.81004,437047.8278,381273.639,8956277.66,763183.13,3315598.2
510,12/21/2015,14802559.76,1394694.012,5501021.707,1248127.822,16587.94499,30594.28999,481321.455,253259.8196,6029291.6,633280.74,2319938.44
510,12/28/2015,4275558.847,540829.8131,1121394.617,368597.9752,1965.400004,14730.67332,68281.20001,83234.01709,1629546.54,231664.33,469517.01
511,10/26/2015,5595490.05,717758.4314,1543365.904,435943.1281,8244.169995,20022.65989,121685.39,209373.1981,2745878.49,378770.17,831153.14
511,11/2/2015,4577995.168,635282.3082,1602694.658,419561.5586,7057.849997,19531.02103,116786.2242,223896.6426,2332426.9,330684.04,897949.08
511,11/9/2015,11955363.75,852998.9959,4097613.433,547353.933,12765.01333,22187.46545,228937.3373,243275.0391,5076701.97,417287.53,1827049.31
511,11/16/2015,11168975.87,913094.5815,3352987.037,562541.0284,10557.08003,36478.95996,186026.27,275203.2074,4765729.39,418822.23,1504330.27
511,11/23/2015,23789911.31,3169295.658,7756101.868,2208673.604,49720.34849,146327.2554,804709.2348,1461153.907,9308522.66,1267487.07,3117403.03
511,11/30/2015,19146454.09,2592252.008,5883666.74,1855927.93,24825.43999,74207.73769,286320.2443,1004963.366,6824691.5,891466.46,2282954.6
511,12/7/2015,14870606.34,1151573.036,5449675.458,959075.4465,13261.1058,25302.69,278227.6615,467444.7392,6144789.5,517193.78,2342729.48
511,12/14/2015,20561936.49,1616693.613,8026391.139,1152200.953,23242.83834,49646.76836,505577.1086,655355.1735,8392296.56,734037.7,3382436.29
511,12/21/2015,15782515.32,1395342.279,6624018.229,978949.7191,30700.46004,41193.31667,624624.8289,419233.9896,6506021.62,633778.68,2844020.82
511,12/28/2015,3966379.553,526384.2791,1253471.678,327584.9988,7657.069958,17574.92198,85883.82326,138802.1092,1595595.7,228953.19,565057.83
512,10/26/2015,3207481.521,381335.6239,844732.8875,271172.6204,1790.52,13297.81002,66774.42004,101966.2487,1551481.96,200536.59,455045.67
512,11/2/2015,2653804.525,360834.8244,886949.9654,282789.0167,4211.039994,12338.53001,71601.90997,98327.92712,1349666.46,187633,499103.5
512,11/9/2015,6901707.821,449940.0639,2216285.382,343890.5352,5357.350019,12316.735,105593.9163,107975.6163,2925581.29,219621.32,981064.68
512,11/16/2015,6894049.204,562629.8321,1986226.733,384280.2058,6174.070005,20794.37501,98680.75503,119759.5682,2915355.74,253031.64,873014.59
512,11/23/2015,13200546.94,1620981.672,3842203.531,1257142.201,36657.33137,66140.29618,353056.218,613456.4457,5154246.71,645380.45,1550616.88
512,11/30/2015,11418005.27,1389898.502,3327681.428,1106648.264,11094.38003,43993.21922,136354.641,473778.8,4110183.77,490027.49,1300344.25
512,12/7/2015,9002725.899,655314.8902,3146272.355,624130.9046,5256.18999,13463.02801,152485.3656,239275.3034,3692316.44,295273.55,1348132.11
512,12/14/2015,12174916.37,980507.5356,4479130.874,829498.5066,12089.66999,30882.9419,277010.739,308398.5897,4947035.62,440379.55,1874039.92
512,12/21/2015,8355282.058,763707.3917,3267049.474,642228.1157,12562.36002,19216.74,290680.33,198113.465,3417041.28,345490.88,1385698.65
512,12/28/2015,2132589.221,279995.2325,589703.9799,198952.1571,2597.93,7603.730006,46328.66001,55852.39443,845332.78,121707.67,253782.52
513,10/26/2015,1364411.298,157171.7589,277869.8753,89635.42672,1422.149995,3957.139996,22897.55001,32623.5,648002.3,82237.84,147988.92
