week,dmanum,lr_spd,lr_grp,lr_imp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
4/22/2013,528,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4,158651.468,9541,16.4
4/22/2013,534,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8,158902.598,5719,21.8
4/22/2013,539,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2,124909.04,5751,15.2
4/22/2013,618,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9,407145.31,14649,29.9
4/22/2013,623,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8,306338.868,11761,19.8
4/22/2013,635,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3,67254.126,2088,16.3
4/22/2013,657,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6,3570.6,0,6
4/22/2013,659,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2,50922.644,861,9.2
4/22/2013,803,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23,843114.45,36129,23
4/22/2013,807,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7,315522.34,17429,21.7
